Index, PS Output(MW)
0, 194.43
1, 200.85
2, 203.13
3, 204.63
4, 217.24
5, 212.71
6, 218.29
7, 259.12
8, 282.54
9, 279.72
10, 282.11
11, 288.7
12, 290.59
13, 294.34
14, 295.3
15, 294.13
16, 292.62
17, 294.15
18, 299.73
19, 306.33
20, 324.84
21, 335.17
22, 337.9
23, 338.88
24, 339.93
25, 340.68
26, 340.13
27, 338.54
28, 339.08
29, 340.04
30, 340.54
31, 337.86
32, 339.24
33, 339.93
34, 339.84
35, 339.43
36, 336.96
37, 332.35
38, 331.32
39, 330.03
40, 324.87
41, 318.59
42, 313.69
43, 311.8
44, 299.23
45, 289.44
46, 288.96
47, 289.79
48, 287.48
49, 288.91
50, 289.33
51, 287.27
52, 289.3
53, 284.86
54, 290.2
55, 289.19
56, 288.3
57, 291.78
58, 293.86
59, 291.66
60, 294.96
61, 294.73
62, 295.72
63, 294.2
64, 294.93
65, 294.93
66, 295.26
67, 296.63
68, 296.32
69, 297.41
70, 297.65
71, 300.94
72, 300.29
73, 301.42
74, 299.24
75, 298.59
76, 297.41
77, 300.09
78, 297.76
79, 298.02
80, 296.27
81, 300.7
82, 298.37
83, 297.21
84, 297.55
85, 297.28
86, 296.16
87, 298.24
88, 296.39
89, 296.81
90, 295.16
91, 294.68
92, 293.24
93, 289.92
94, 292.05
95, 290.86
96, 292.66
97, 292.84
98, -400
99, 292.12
100, 292.57
101, 293.7
102, 292.42
103, 291.05
104, 297.4
105, 298.63
106, 303.46
107, 307.41
108, 309.16
109, 310.7
110, 312.15
111, 312.36
112, 313.96
113, 317.38
114, 318.11
115, 321.03
116, 322.97
117, 325.76
118, 327.54
119, 327.86
120, 335.46
121, 355.69
122, 356.93
123, 354.13
124, 356.96
125, 359.41
126, 384.22
127, 387.6
128, 390.84
129, 392.08
130, 388.04
131, 392.83
132, 394.95
133, 393.45
134, 393.17
135, 391.68
136, 392.69
137, 395.12
138, 395.24
139, 395.5
140, 395.64
141, 393.76
142, 394.79
143, 395.32
144, 396.04
145, 398.01
146, 397.32
147, 395.08
148, 395.78
149, 399.27
150, 397.37
151, 396.73
152, 396.72
153, 395.59
154, 395.29
155, 396.09
156, 396.2
157, 397.04
158, 395.52
159, 396.25
160, 396.9
161, 396.09
162, 397.04
163, 395.54
164, 395.76
165, 395.45
166, 395.2
167, 396.3
168, 398.4
169, 396.5
170, 396.39
171, 396.44
172, 395.79
173, 396.49
174, 395.33
175, 396.45
176, 396.58
177, 397.56
178, 396.33
179, 395.7
180, 399.32
181, 399.88
182, 397.63
183, 396.67
184, 394.41
185, 396.39
186, 394.64
187, 394.79
188, 399.34
189, 396.01
190, 397.26
191, 400.01
192, 401.89
193, 397.7
194, 397.66
195, 401.14
196, 397.07
197, 395.71
198, 396.19
199, 393.38
200, 394.77
201, 396.83
202, 396.97
203, 394.9
204, 394.17
205, 395.34
206, 395.88
207, 397.42
208, 396.52
209, 397.03
210, 401.61
211, 398.01
212, 403.1
213, 397.71
